osm_id,katotth,koatuu,name,name:uk,place,population,postal_code,old_name,old_name:uk,region,rayon,hromada
256614038,UA14060110270020313,1414447101,Червоний Жовтень,Червоний Жовтень,hamlet,47,86505,,,Донецька область,Сніжнянська міська рада,
256614072,UA14080090030066094,1415045600,Войкове,Войкове,hamlet,43,86790,,,Донецька область,Харцизька міська рада,
256614096,UA14080090170046838,1415090005,Ведмеже,Ведмеже,hamlet,96,86700,,,Донецька область,Харцизька міська рада,
256614140,UA14060170180029140,1415390009,Кищенко,Кищенко,hamlet,36,86206,,,Донецька область,,
256614148,UA14120170030029938,1420384403,Бузинівка,Бузинівка,hamlet,32,84051,,,Донецька область,Краматорський район,Олександрівська селищна громада
256614154,UA14120150160040770,1420383815,Федорівка,Федорівка,hamlet,8,84041,,,Донецька область,Краматорський район,Новодонецька селищна громада
256614214,UA14120150120061962,1420387306,Новосергіївка,Новосергіївка,hamlet,17,84052,,,Донецька область,Краматорський район,Новодонецька селищна громада
256614253,UA14120150170067927,1420387310,Шевченко,Шевченко,hamlet,33,84051,,,Донецька область,Краматорський район,Новодонецька селищна громада
256614333,UA14120170310015196,1420386813,Новопригоже,Новопригоже,hamlet,43,84010,,,Донецька область,Краматорський район,Олександрівська селищна громада
256614400,UA14080010310042461,1420682009,Свистуни,Свистуни,hamlet,6,87330,,,Донецька область,Амвросіївський район,
256614434,UA14080010160098475,1420680405,Комишуваха,Комишуваха,hamlet,37,87342,,,Донецька область,Амвросіївський район,
256614442,UA14080010250040207,1420680409,Новоукраїнське,Новоукраїнське,hamlet,16,87342,,,Донецька область,Амвросіївський район,
256614458,UA14080010180039570,1420681003,Красний Луч,Красний Луч,hamlet,46,87340,,,Донецька область,Амвросіївський район,
256614602,UA14020050090071406,1420955403,Лозове,Лозове,hamlet,48,84580,,,Донецька область,Бахмутський район,Світлодарська міська громада
256614604,UA14020050140037916,1420955405,Розсадки,Розсадки,hamlet,32,84580,,,Донецька область,Бахмутський район,Світлодарська міська громада
256614605,UA14020090270041471,1420981007,Сакко І Ванцетті,Сакко І Ванцетті,hamlet,3,84530,,,Донецька область,Бахмутський район,Соледарська міська громада
256614606,UA14020090220044513,1420981006,Пазено,Пазено,hamlet,16,84530,Петрівське,Петрівське,Донецька область,Бахмутський район,Соледарська міська громада
256614607,UA14020090320068253,1420981010,Хромівка,Хромівка,hamlet,34,84530,,,Донецька область,Бахмутський район,Соледарська міська громада
256614619,UA14020090060075345,1420981002,Бондарне,Бондарне,hamlet,43,84530,,,Донецька область,Бахмутський район,Соледарська міська громада
256614624,UA14080010350045031,1420688202,Виселки,Виселки,hamlet,75,87371,,,Донецька область,Амвросіївський район,
256614651,UA14020050080097323,1420955402,Криничне,Криничне,hamlet,41,84580,,,Донецька область,Бахмутський район,Світлодарська міська громада
256614658,UA14020050110066801,1420985004,Миколаївка Друга,Миколаївка Друга,hamlet,7,84572,,,Донецька область,Бахмутський район,Світлодарська міська громада
256614675,UA14020050060050756,1420985002,Дача,Дача,hamlet,39,84572,,,Донецька область,Бахмутський район,Світлодарська міська громада
256614679,UA14020050100062404,1420985003,Миколаївка,Миколаївка,hamlet,16,84572,,,Донецька область,Бахмутський район,Світлодарська міська громада
256614680,UA14020010130026317,1420984503,Мідна Руда,Мідна Руда,hamlet,9,84562,,,Донецька область,Бахмутський район,Бахмутська міська громада
256614683,UA14020010050042024,1420983002,Вершина,Вершина,hamlet,24,84570,,,Донецька область,Бахмутський район,Бахмутська міська громада
256614685,UA14020070040057470,1420982303,Платонівка,Платонівка,hamlet,42,84521,,,Донецька область,Бахмутський район,Сіверська міська громада
256614688,UA14020030040049772,1420983502,Кузьминівка,Кузьминівка,hamlet,29,84528,,,Донецька область,Бахмутський район,Званівська сільська громада
256614691,UA14020030050072966,1420981503,Новоселівка,Новоселівка,hamlet,1,84525,,,Донецька область,Бахмутський район,Званівська сільська громада
256614697,UA14020030030030735,1420981502,Івано-Дар’ївка,Івано-Дар’ївка,hamlet,29,84525,,,Донецька область,Бахмутський район,Званівська сільська громада
256614701,UA14020090280094715,1420982004,Стряпівка,Стряпівка,hamlet,50,84560,,,Донецька область,Бахмутський район,Соледарська міська громада
256614703,UA14020090140045297,1420987003,Залізнянське,Залізнянське,hamlet,2,84536,,,Донецька область,Бахмутський район,Соледарська міська громада
256614707,UA14020010140044558,1420987503,Нова Кам’янка,Нова Кам’янка,hamlet,14,84561,,,Донецька область,Бахмутський район,Бахмутська міська громада
256614709,UA14020090150024401,1420988002,Краснополівка,Краснополівка,hamlet,33,84540,,,Донецька область,Бахмутський район,Соледарська міська громада
256614710,UA14020090180089222,1420988003,Миколаївка,Миколаївка,hamlet,43,84540,,,Донецька область,Бахмутський район,Соледарська міська громада
256614722,UA14020090160027468,1420985904,Липівка,Липівка,hamlet,6,84531,,,Донецька область,Бахмутський район,Соледарська міська громада
256614723,UA14020090120055760,1420985903,Діброва,Діброва,hamlet,22,84531,,,Донецька область,Бахмутський район,Соледарська міська громада
256614727,UA14060050070017687,1420986003,Санжарівка,Санжарівка,hamlet,8,84582,,,Донецька область,,
256614728,UA14060050050013996,1420986002,Нижнє Лозове,Нижнє Лозове,hamlet,11,84582,,,Донецька область,,
256614733,UA14020090110062269,1420985702,Голубівка,Голубівка,hamlet,40,84532,,,Донецька область,Бахмутський район,Соледарська міська громада
256614736,UA14020090130067996,1420985703,Дубово-Василівка,Дубово-Василівка,hamlet,13,84532,,,Донецька область,Бахмутський район,Соледарська міська громада
256614751,UA14040010130010637,1421280803,Новоукраїнка,Новоукраїнка,hamlet,46,85530,,,Донецька область,Волноваський район,Великоновосілківська селищна громада
256614834,UA14040070050034488,1421284402,Грушівське,Грушівське,hamlet,8,85512,,,Донецька область,Волноваський район,Комарська сільська громада
256614901,UA14040050150015289,1421581602,Шевченко,Шевченко,hamlet,23,85724,,,Донецька область,Волноваський район,Вугледарська міська громада
256615088,UA14040110070080238,1421584003,Вікторівка,Вікторівка,hamlet,20,85734,,,Донецька область,Волноваський район,Ольгинська селищна громада
256615148,UA14100030130036905,1421557103,Новомиколаївка,Новомиколаївка,hamlet,49,85710,,,Донецька область,,
256615220,UA14140070240037167,1421785007,Українка,Українка,hamlet,27,87022,,,Донецька область,Маріупольський район,Нікольська селищна громада
256615233,UA14140070170062373,1421787004,Перемога,Перемога,hamlet,18,87050,,,Донецька область,Маріупольський район,Нікольська селищна громада
256615241,UA14040150190039822,1421585604,Петрівка,Петрівка,hamlet,19,85710,Петрівське,Петрівське,Донецька область,Волноваський район,Хлібодарівська сільська громада
256615258,UA14040030210011297,1421586403,Тарасівка,Тарасівка,hamlet,13,85773,,,Донецька область,Волноваський район,Волноваська міська громада
256615363,UA14160090190088670,1422088808,Петрівське,Петрівське,hamlet,3,85033,,,Донецька область,Покровський район,Криворізька сільська громада
256615394,UA14160270110031060,1422083304,Лідине,Лідине,hamlet,23,85018,,,Донецька область,Покровський район,Шахівська сільська громада
256615449,UA14160070050095842,1422055501,Вікторівка,Вікторівка,hamlet,25,85020,,,Донецька область,Покровський район,Добропільська міська громада
256615456,UA14160090200065489,1422084409,Ракша,Ракша,hamlet,50,85030,,,Донецька область,Покровський район,Криворізька сільська громада
256615481,UA14160090150089039,1422084406,Новокриворіжжя,Новокриворіжжя,hamlet,49,85030,,,Донецька область,Покровський район,Криворізька сільська громада
256615483,UA14160090160041578,1422084407,Новомар’ївка,Новомар’ївка,hamlet,4,85030,,,Донецька область,Покровський район,Криворізька сільська громада
256615499,UA14160270180024397,1422083311,Петрівка,Петрівка,hamlet,38,85018,Петрівське,Петрівське,Донецька область,Покровський район,Шахівська сільська громада
256615508,UA14120050050011104,1422485804,Зелене Поле,Зелене Поле,hamlet,29,,,,Донецька область,Краматорський район,Іллінівська сільська громада
256615509,UA14120050030023365,1422485803,Водяне Друге,Водяне Друге,hamlet,26,85180,,,Донецька область,Краматорський район,Іллінівська сільська громада
256615511,UA14120050020028133,1422485802,Березівка,Березівка,hamlet,25,85180,,,Донецька область,Краматорський район,Іллінівська сільська громада
256615528,UA14120030170088452,1422486015,Торецьке,Торецьке,hamlet,28,85170,,,Донецька область,Краматорський район,Дружківська міська громада
256615539,UA14120030110051135,1422486005,Новопавлівка,Новопавлівка,hamlet,36,85170,,,Донецька область,Краматорський район,Дружківська міська громада
256615545,UA14120030190092561,1422486011,Приют,Приют,hamlet,42,85170,,,Донецька область,Краматорський район,Дружківська міська громада
256615548,UA14120030130083816,1422486007,Павлівка,Павлівка,hamlet,42,85170,,,Донецька область,Краматорський район,Дружківська міська громада
256615551,UA14120030140031288,1422486009,Петрівка,Петрівка,hamlet,21,85170,,,Донецька область,Краматорський район,Дружківська міська громада
256615556,UA14120070120036640,1422482504,Неліпівка,Неліпівка,hamlet,41,85142,,,Донецька область,Краматорський район,Костянтинівська міська громада
256615575,UA14120070080084839,1422482003,Клинове,Клинове,hamlet,30,85131,,,Донецька область,Краматорський район,Костянтинівська міська громада
256615576,UA14120070200052491,1422482002,Безім’яне,Безім’яне,hamlet,9,85131,,,Донецька область,Краматорський район,Костянтинівська міська громада
256615639,UA14120070160037794,1422482007,Попасне,Попасне,hamlet,35,85131,,,Донецька область,Краматорський район,Костянтинівська міська громада
256615684,UA14120070190052727,1422483707,Федорівка,Федорівка,hamlet,39,85132,,,Донецька область,Краматорський район,Костянтинівська міська громада
256615791,UA14160050290023542,1422783604,Тимофіївка,Тимофіївка,hamlet,33,85351,,,Донецька область,Покровський район,Гродівська селищна громада
256615796,UA14160210050078942,1422784502,Вовкове,Вовкове,hamlet,23,85360,,,Донецька область,Покровський район,Покровська міська громада
256615815,UA14160210230093332,1422782807,Новоукраїнка,Новоукраїнка,hamlet,34,85363,,,Донецька область,Покровський район,Покровська міська громада
256615845,UA14160050270099071,1422781609,Свиридонівка,Свиридонівка,hamlet,35,85350,,,Донецька область,Покровський район,Гродівська селищна громада
256615849,UA14160050230093375,1422781607,Новоторецьке,Новоторецьке,hamlet,22,85350,,,Донецька область,Покровський район,Гродівська селищна громада
256615852,UA14160050140048083,1422781605,Лисичне,Лисичне,hamlet,15,85350,,,Донецька область,Покровський район,Гродівська селищна громада
256615909,UA14160050030079159,1422755601,Балаган,Балаган,hamlet,35,85327,,,Донецька область,Покровський район,Гродівська селищна громада
256615967,UA14120110080046850,1423084302,Вовчий Яр,Вовчий Яр,hamlet,31,84412,,,Донецька область,Краматорський район,Лиманська міська громада
256616002,UA14120110370026570,1423085403,Мирне,Мирне,hamlet,18,,Дзержинське,Дзержинське,Донецька область,Краматорський район,Лиманська міська громада
256616010,UA14120110240041780,1423085406,Новосадове,Новосадове,hamlet,32,84440,,,Донецька область,Краматорський район,Лиманська міська громада
256616225,UA14160210040055204,1422786502,Богданівка,Богданівка,hamlet,26,85373,,,Донецька область,Покровський район,Покровська міська громада
256616311,UA14160050310025403,1422788305,Шевченко Перше,Шевченко Перше,hamlet,44,85343,,,Донецька область,Покровський район,Гродівська селищна громада
256616324,UA14160050180079292,1422788303,Мирне,Мирне,hamlet,24,,,,Донецька область,Покровський район,Гродівська селищна громада
256616515,UA14160150050026755,1422785705,Сухецьке,Сухецьке,hamlet,39,85310,,,Донецька область,Покровський район,Мирноградська міська громада
256616778,UA14160110180090932,1423385405,Кремінна Балка,Кремінна Балка,hamlet,41,85610,,,Донецька область,Покровський район,Курахівська міська громада
256617019,UA14160110260096084,1423381507,Янтарне,Янтарне,hamlet,148,85611,,,Донецька область,Покровський район,Курахівська міська громада
256617074,UA14160110110026400,1423381502,Гігант,Гігант,hamlet,3,85611,,,Донецька область,Покровський район,Курахівська міська громада
256617117,UA14160170040028969,1423381102,Долинівка,Долинівка,hamlet,11,85620,,,Донецька область,Покровський район,Новогродівська міська громада
256617168,UA14160110220059105,1423310603,Степанівка,Степанівка,hamlet,46,85615,,,Донецька область,Покровський район,Курахівська міська громада
256617222,UA14140050110075502,1423982202,Рибацьке,Рибацьке,hamlet,44,87440,,,Донецька область,Маріупольський район,Маріупольська міська громада
256617424,UA14100070350037193,1423686011,Холодне,Холодне,hamlet,131,87634,,,Донецька область,Новоазовський район,
256617506,UA14100070340020561,1423685505,Українське,Українське,hamlet,43,87643,,,Донецька область,Новоазовський район,
256617529,UA14100070320059583,1423685504,Соснівське,Соснівське,hamlet,33,87643,,,Донецька область,Новоазовський район,
256617534,UA14100070170036243,1423686007,Кузнеці,Кузнеці,hamlet,26,87631,,,Донецька область,Новоазовський район,
256617544,UA14100070090048440,1423686003,Веселе,Веселе,hamlet,35,87662,,,Донецька область,Новоазовський район,
256617596,UA14140090100060947,1421585802,Пищевик,Пищевик,hamlet,41,87610,,,Донецька область,Маріупольський район,Сартанська селищна громада
256617601,UA14140090150072271,1421585803,Черненко,Черненко,hamlet,16,87610,,,Донецька область,Маріупольський район,Сартанська селищна громада
256617614,UA14140090040074073,1421589002,Водяне,Водяне,hamlet,19,87611,,,Донецька область,Маріупольський район,Сартанська селищна громада
256617658,UA14100070270021305,1423681107,Роза,Роза,hamlet,8,87611,,,Донецька область,Новоазовський район,
256617671,UA14100070070034007,1423681102,Веденське,Веденське,hamlet,22,87661,,,Донецька область,Новоазовський район,
256617699,UA14100090200099893,1424582403,Кірове,Кірове,hamlet,41,87212,,,Донецька область,Старобешівський район,
256617714,UA14100050270056715,1424581808,Світлий Луч,Світлий Луч,hamlet,41,87260,,,Донецька область,Старобешівський район,
256617722,UA14100050040055140,1424581802,Берестове,Берестове,hamlet,47,87260,,,Донецька область,Старобешівський район,
256617726,UA14100050080050671,1424581803,Вишневе,Вишневе,hamlet,31,87260,,,Донецька область,Старобешівський район,
256617758,UA14100050310014165,1424583510,Широке,Широке,hamlet,33,87263,,,Донецька область,Старобешівський район,
256617771,UA14100050330069540,1424583503,Бурне,Бурне,hamlet,31,87254,,,Донецька область,Старобешівський район,
256617825,UA14100050350095679,1424586009,Кипуча Криниця,Кипуча Криниця,hamlet,32,87241,,,Донецька область,Старобешівський район,
256617973,UA14100050200068775,1424587505,Новомихайлівка,Новомихайлівка,hamlet,50,87262,,,Донецька область,Старобешівський район,
256618113,UA14120010020083675,1424280502,Варварівка,Варварівка,hamlet,44,84192,,,Донецька область,Краматорський район,Андріївська сільська громада
256618143,UA14120190070026318,1424281504,Мазанівка,Мазанівка,hamlet,12,84140,,,Донецька область,Краматорський район,Святогірська міська громада
256618202,UA14120130150076709,1424283507,Юрківка,Юрківка,hamlet,34,84187,,,Донецька область,Краматорський район,Миколаївська міська громада
256618219,UA14120130090077872,1424283505,Першомар’ївка,Першомар’ївка,hamlet,45,84187,,,Донецька область,Краматорський район,Миколаївська міська громада
256618332,UA14080090110038683,1425283402,Дубівка,Дубівка,hamlet,50,86252,,,Донецька область,Шахтарський район,
256618337,UA14080090130073468,1425283403,Новомиколаївка,Новомиколаївка,hamlet,42,86252,,,Донецька область,Шахтарський район,
256618339,UA14060130060015845,1425285604,Круглик,Круглик,hamlet,21,86220,,,Донецька область,Шахтарський район,
256618341,UA14060130020018501,1425285602,Веселе,Веселе,hamlet,23,86220,,,Донецька область,Шахтарський район,
256618504,UA14060130030013925,1425286803,Димитрова,Димитрова,hamlet,43,86220,,,Донецька область,Шахтарський район,
256618579,UA14160190250060455,1425583205,Скучне,Скучне,hamlet,14,86024,,,Донецька область,Покровський район,Очеретинська селищна громада
256618588,UA14160190110088973,1425583203,Межове,Межове,hamlet,36,86024,,,Донецька область,Покровський район,Очеретинська селищна громада
256618656,UA14140090130087547,1421588203,Федорівка,Федорівка,hamlet,40,87100,,,Донецька область,Маріупольський район,Сартанська селищна громада
256618677,UA14100010280078094,1424881904,Октябрське,Октябрське,hamlet,8,87100,,,Донецька область,Тельманівський район,
256618686,UA14100010170030970,1424882402,Котляревське,Котляревське,hamlet,36,87132,,,Донецька область,Тельманівський район,
256618710,UA14100010150083056,1424882904,Каплани,Каплани,hamlet,4,87100,,,Донецька область,Тельманівський район,
256618774,UA14100010050075553,1424883603,Вершинівка,Вершинівка,hamlet,36,87131,,,Донецька область,Тельманівський район,
256618796,UA14040090140053722,1421589204,Маловодне,Маловодне,hamlet,98,87100,,,Донецька область,Волноваський район,Мирненська селищна громада
256618799,UA14040090040020976,1421589202,Запорізьке,Запорізьке,hamlet,85,87100,,,Донецька область,Волноваський район,Мирненська селищна громада
256618810,UA14100010410023897,1424886403,Чумак,Чумак,hamlet,26,87161,,,Донецька область,Тельманівський район,
256618892,UA14060170080027524,1425280503,Шапошникове,Шапошникове,hamlet,15,86253,,,Донецька область,Шахтарський район,
256618913,UA14060110120075326,1425282302,Верхній Кут,Верхній Кут,hamlet,9,86262,,,Донецька область,Шахтарський район,
256618918,UA14060110260095214,1425282309,Чугуно-Крепинка,Чугуно-Крепинка,hamlet,88,86262,,,Донецька область,Шахтарський район,
256618921,UA14060110190060813,1425282307,Передерієве,Передерієве,hamlet,7,86200,,,Донецька область,Шахтарський район,
256618930,UA14080110050049586,1425587603,Каштанове,Каштанове,hamlet,58,86005,,,Донецька область,,
282854419,UA73040030180030029,7322086003,Макарівка,Макарівка,hamlet,5,60111,,,Чернівецька область,Дністровський район,Кельменецька селищна громада
287403860,UA44040030100083165,4421486602,Берегове,Берегове,hamlet,12,94454,,,Луганська область,Краснодонський район,
310338352,UA18040450100033345,1825085503,Глухів Другий,Глухів Другий,hamlet,91,12200,,,Житомирська область,Житомирський район,Радомишльська міська громада
310338782,UA18040450400077379,1825084903,Спірне,Спірне,hamlet,43,12200,,,Житомирська область,Житомирський район,Радомишльська міська громада
311425230,UA01100370030067307,122785803,Заводское,Заводське,hamlet,238,298204,,,Автономна Республіка Крим,Ленинский район,
311427913,UA01100010020045317,122755301,Ивановка,Іванівка,hamlet,219,,,,Автономна Республіка Крим,Ленинский район,
311430788,UA01100370020044198,122785802,Азовское,Азовське,hamlet,48,,,,Автономна Республіка Крим,Ленинский район,
312585400,UA18060110170035649,1822881303,Іванівка,Іванівка,hamlet,49,11331,,,Житомирська область,Коростенський район,Лугинська селищна громада
337502146,UA74060030530019789,7423683208,Новоселівка,Новоселівка,hamlet,29,16020,,,Чернігівська область,Новгород-Сіверський район,Новгород-Сіверська міська громада
337502155,UA74060030330055763,7423683206,Колос,Колос,hamlet,38,16020,,,Чернігівська область,Новгород-Сіверський район,Новгород-Сіверська міська громада
337502166,UA74060030220078024,7423682004,Городище,Городище,hamlet,20,16010,,,Чернігівська область,Новгород-Сіверський район,Новгород-Сіверська міська громада
337502174,UA74060030830048360,7423682006,Ясна Поляна,Ясна Поляна,hamlet,12,16010,,,Чернігівська область,Новгород-Сіверський район,Новгород-Сіверська міська громада
337502184,UA74060070070012848,7424786506,Брониви,Брониви,hamlet,43,15410,Улянівське,Улянівське,Чернігівська область,Новгород-Сіверський район,Семенівська міська громада
337502196,UA59100090240020209,5924481705,Улиця,Улиця,hamlet,21,41021,,,Сумська область,Шосткинський район,Зноб-Новгородська селищна громада
337502207,UA74060030180017406,7423683204,Гай,Гай,hamlet,20,16020,,,Чернігівська область,Новгород-Сіверський район,Новгород-Сіверська міська громада
337502211,UA59100130020055630,5924486302,Василівка,Василівка,hamlet,37,41030,,,Сумська область,Шосткинський район,Середино-Будська міська громада
337502217,UA74060030240034998,7423683205,Діброва,Діброва,hamlet,10,16020,,,Чернігівська область,Новгород-Сіверський район,Новгород-Сіверська міська громада
